,index,PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
104,104,10.0,2-6 SiaLac,300.0,141.0,0.47,4.409,621.676,0.2750628944980987,0,18,Data/H1N1_MDCK/MDCK_sheet2.csv,171.0,0.007893841719593214,Non-binder
105,105,10.0,2-6 SiaLac,300.0,141.0,0.47,4.484,632.178,0.4919500520423045,0,18,Data/H1N1_MDCK/MDCK_sheet2.csv,311.0,0.014118137787554037,Non-binder
106,106,1.0,2-3 SiaLac,150.0,51.0,0.34,0.759,38.693,16.385392706691135,0,19,Data/H1N1_MDCK/MDCK_sheet2.csv,634.0,0.47023316894853273,Binder
107,107,1.0,2-3 SiaLac,150.0,51.0,0.34,0.742,37.841,17.045004096086256,0,19,Data/H1N1_MDCK/MDCK_sheet2.csv,645.0,0.4891629046870696,Binder
108,108,1.0,2-3 SiaLac,150.0,51.0,0.34,0.677,34.544,17.687586845761928,0,19,Data/H1N1_MDCK/MDCK_sheet2.csv,611.0,0.5076039471509625,Binder
109,109,1.0,2-3 SiaLac,150.0,51.0,0.34,0.671,34.232,19.922879177377894,0,19,Data/H1N1_MDCK/MDCK_sheet2.csv,682.0,0.5717530716448112,Binder
110,110,1.0,2-3 SiaLac,150.0,51.0,0.34,0.868,44.243,15.121036096105598,0,19,Data/H1N1_MDCK/MDCK_sheet2.csv,669.0,0.4339482640750672,Binder
111,111,1.0,2-3 SiaLac,150.0,51.0,0.34,0.661,33.73,21.553513193003262,0,19,Data/H1N1_MDCK/MDCK_sheet2.csv,727.0,0.6185495210365713,Binder
112,112,1.0,2-3 SiaLac,150.0,87.0,0.58,0.322,28.001,22.034927324024142,0,20,Data/H1N1_MDCK/MDCK_sheet2.csv,617.0,0.6323652956389164,Binder
113,113,1.0,2-3 SiaLac,150.0,87.0,0.58,0.319,27.793,20.07699780520275,0,20,Data/H1N1_MDCK/MDCK_sheet2.csv,558.0,0.5761760166454817,Binder
114,114,1.0,2-3 SiaLac,150.0,87.0,0.58,0.305,26.544,22.001205545509343,0,20,Data/H1N1_MDCK/MDCK_sheet2.csv,584.0,0.6313975374009878,Binder
115,115,1.0,2-3 SiaLac,150.0,87.0,0.58,0.306,26.641,21.13284035884539,0,20,Data/H1N1_MDCK/MDCK_sheet2.csv,563.0,0.6064769193334801,Binder
116,116,1.0,2-3 SiaLac,150.0,87.0,0.58,0.298,25.965,21.837088388214905,0,20,Data/H1N1_MDCK/MDCK_sheet2.csv,567.0,0.6266876514473925,Binder
117,117,1.0,2-3 SiaLac,150.0,87.0,0.58,0.307,26.738,22.851372578352905,0,20,Data/H1N1_MDCK/MDCK_sheet2.csv,611.0,0.6557958991092395,Binder
118,118,1.0,2-3 SiaLac,200.0,74.0,0.37,0.499,36.902,32.735353097393094,0,21,Data/H1N1_MDCK/MDCK_sheet2.csv,1208.0,0.939449490115079,Binder
119,119,1.0,2-3 SiaLac,200.0,74.0,0.37,0.495,36.623,32.766294405155236,0,21,Data/H1N1_MDCK/MDCK_sheet2.csv,1200.0,0.9403374535262008,Binder
120,120,1.0,2-3 SiaLac,200.0,74.0,0.37,0.506,37.48,34.845250800426896,0,21,Data/H1N1_MDCK/MDCK_sheet2.csv,1306.0,1.0,Binder
121,121,1.0,2-3 SiaLac,200.0,74.0,0.37,0.502,37.182,31.359259856920012,0,21,Data/H1N1_MDCK/MDCK_sheet2.csv,1166.0,0.8999579321878729,Binder
122,122,1.0,2-3 SiaLac,200.0,74.0,0.37,0.512,37.864,30.71519121064864,0,21,Data/H1N1_MDCK/MDCK_sheet2.csv,1163.0,0.8814742469947251,Binder
123,123,1.0,2-3 SiaLac,200.0,74.0,0.37,0.533,39.438,30.60500025356255,0,21,Data/H1N1_MDCK/MDCK_sheet2.csv,1207.0,0.8783119521466496,Binder
124,124,1.0,2-3 SiaLac,200.0,104.0,0.52,0.499,51.882,25.808565591149147,0,22,Data/H1N1_MDCK/MDCK_sheet2.csv,1339.0,0.7406623570874962,Binder
125,125,1.0,2-3 SiaLac,200.0,104.0,0.52,0.454,47.185,30.348627741867116,0,22,Data/H1N1_MDCK/MDCK_sheet2.csv,1432.0,0.8709544929289276,Binder
126,126,1.0,2-3 SiaLac,200.0,104.0,0.52,0.467,48.533,26.18836667834257,0,22,Data/H1N1_MDCK/MDCK_sheet2.csv,1271.0,0.7515620085025111,Binder
127,127,1.0,2-3 SiaLac,200.0,104.0,0.52,0.459,47.766,26.127370933299837,0,22,Data/H1N1_MDCK/MDCK_sheet2.csv,1248.0,0.7498115333691254,Binder
128,128,1.0,2-3 SiaLac,200.0,104.0,0.52,0.463,48.189,23.698354396231505,0,22,Data/H1N1_MDCK/MDCK_sheet2.csv,1142.0,0.6801028505135963,Binder
129,129,1.0,2-3 SiaLac,200.0,104.0,0.52,0.454,47.185,24.54169757338137,0,22,Data/H1N1_MDCK/MDCK_sheet2.csv,1158.0,0.7043053790584485,Binder
130,130,1.0,2-3 SiaLac,300.0,108.0,0.36,0.461,49.793,28.2971502018356,0,23,Data/H1N1_MDCK/MDCK_sheet2.csv,1409.0,0.812080543311484,Binder
131,131,1.0,2-3 SiaLac,300.0,108.0,0.36,0.514,55.5,30.7027027027027,0,23,Data/H1N1_MDCK/MDCK_sheet2.csv,1704.0,0.8811158478539795,Binder
132,132,1.0,2-3 SiaLac,300.0,108.0,0.36,0.476,51.455,25.459139053541932,0,23,Data/H1N1_MDCK/MDCK_sheet2.csv,1310.0,0.7306344040786765,Binder
133,133,1.0,2-3 SiaLac,300.0,108.0,0.36,0.479,51.682,32.50648194729306,0,23,Data/H1N1_MDCK/MDCK_sheet2.csv,1680.0,0.932881273648196,Binder
134,134,1.0,2-3 SiaLac,300.0,108.0,0.36,0.477,51.531,22.821214414624208,0,23,Data/H1N1_MDCK/MDCK_sheet2.csv,1176.0,0.6549304106126457,Binder
135,135,1.0,2-3 SiaLac,300.0,108.0,0.36,0.509,55.012,21.286264814949465,0,23,Data/H1N1_MDCK/MDCK_sheet2.csv,1171.0,0.6108799427751194,Binder
136,136,1.0,2-3 SiaLac,300.0,138.0,0.46,0.634,87.426,13.874591082744264,0,24,Data/H1N1_MDCK/MDCK_sheet2.csv,1213.0,0.3981773918692611,Binder
137,137,1.0,2-3 SiaLac,300.0,138.0,0.46,0.624,86.076,20.098517589107303,0,24,Data/H1N1_MDCK/MDCK_sheet2.csv,1730.0,0.5767935981927578,Binder
138,138,1.0,2-3 SiaLac,300.0,138.0,0.46,0.638,88.049,13.537916387466069,0,24,Data/H1N1_MDCK/MDCK_sheet2.csv,1192.0,0.3885153952543861,Binder
139,139,1.0,2-3 SiaLac,300.0,138.0,0.46,0.645,88.983,11.552768506343908,0,24,Data/H1N1_MDCK/MDCK_sheet2.csv,1028.0,0.3315449951131467,Binder
140,140,1.0,2-3 SiaLac,300.0,138.0,0.46,0.603,83.223,11.631399973565,0,24,Data/H1N1_MDCK/MDCK_sheet2.csv,968.0,0.3338015857650966,Binder
141,141,1.0,2-3 SiaLac,300.0,138.0,0.46,0.646,89.191,9.530109540200245,0,24,Data/H1N1_MDCK/MDCK_sheet2.csv,850.0,0.27349809002044806,Binder
142,142,5.0,2-3 SiaLac,150.0,51.0,0.34,2.099,107.057,10.723259572003698,0,25,Data/H1N1_MDCK/MDCK_sheet2.csv,1148.0,0.3077394860326942,Binder
143,143,5.0,2-3 SiaLac,150.0,51.0,0.34,2.086,106.378,11.750549925736525,0,25,Data/H1N1_MDCK/MDCK_sheet2.csv,1250.0,0.33722098868040196,Binder
144,144,5.0,2-3 SiaLac,150.0,51.0,0.34,2.117,107.962,11.077971878994461,0,25,Data/H1N1_MDCK/MDCK_sheet2.csv,1196.0,0.31791913171876907,Binder
