PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,MVF_orig,Status,Experiment,Self-model,Cross-model,MVF_norm
5.0,2-6 SiaLac,150.0,60.0,0.4,1.618,97.058,1.8545611902161592,180.0,Gained in MDCK,Binder,Binder,Non-binder,0.05322278208981749
5.0,2-6 SiaLac,150.0,60.0,0.4,1.649,98.924,2.729367999676519,270.0,Gained in MDCK,Binder,Binder,Non-binder,0.0783282638804563
5.0,2-6 SiaLac,150.0,60.0,0.4,1.358,81.459,3.093580819798917,252.0,Conserved,Binder,Binder,Binder,0.08878055828948193
5.0,2-6 SiaLac,200.0,78.0,0.39,1.947,151.847,1.5805383050043793,240.0,Gained in MDCK,Binder,Binder,Non-binder,0.04535878688481174
5.0,2-6 SiaLac,200.0,78.0,0.39,1.929,150.427,1.7084698890491734,257.0,Gained in MDCK,Binder,Binder,Non-binder,0.049030207841931864
5.0,2-6 SiaLac,200.0,78.0,0.39,2.058,160.527,1.9186803466083588,308.0,Gained in MDCK,Binder,Binder,Non-binder,0.055062893867443556
5.0,2-6 SiaLac,200.0,78.0,0.39,1.921,149.874,2.2418831818727734,336.0,Gained in MDCK,Binder,Binder,Non-binder,0.0643382707937148
5.0,2-6 SiaLac,200.0,78.0,0.39,2.084,162.569,1.8207653365647818,296.0,Gained in MDCK,Binder,Binder,Non-binder,0.05225289802025116
5.0,2-6 SiaLac,200.0,78.0,0.39,1.977,154.169,2.0172667656921948,311.0,Gained in MDCK,Binder,Binder,Non-binder,0.057892158023080745
5.0,2-6 SiaLac,200.0,98.0,0.49,2.07,202.909,1.611559861809974,327.0,Gained in MDCK,Binder,Binder,Non-binder,0.04624905330829849
5.0,2-6 SiaLac,200.0,98.0,0.49,2.097,205.549,1.7465421870210995,359.0,Gained in MDCK,Binder,Binder,Non-binder,0.05012281865968668
5.0,2-6 SiaLac,200.0,98.0,0.49,2.164,212.05,1.480782834237208,314.0,Gained in MDCK,Binder,Binder,Non-binder,0.04249597291516888
5.0,2-6 SiaLac,200.0,98.0,0.49,2.126,208.389,1.7515319906520976,365.0,Gained in MDCK,Binder,Binder,Non-binder,0.05026601761840782
5.0,2-6 SiaLac,200.0,98.0,0.49,2.234,218.95,1.6944507878511077,371.0,Gained in MDCK,Binder,Binder,Non-binder,0.04862788325318493
5.0,2-6 SiaLac,200.0,98.0,0.49,2.191,214.74,1.899972059234423,408.0,Gained in MDCK,Binder,Binder,Non-binder,0.05452599753453765
5.0,2-6 SiaLac,300.0,105.0,0.35,2.188,229.737,1.8238246342556925,419.0,Gained in MDCK,Binder,Binder,Non-binder,0.05234069471049261
5.0,2-6 SiaLac,300.0,105.0,0.35,2.471,259.421,1.657537362048562,430.0,Gained in MDCK,Binder,Binder,Non-binder,0.047568530114533006
5.0,2-6 SiaLac,300.0,105.0,0.35,2.312,242.772,1.6558746478177055,402.0,Gained in MDCK,Binder,Binder,Non-binder,0.04752081301700429
5.0,2-6 SiaLac,300.0,105.0,0.35,2.259,237.163,1.606490051146258,381.0,Gained in MDCK,Binder,Binder,Non-binder,0.04610355828251283
5.0,2-6 SiaLac,300.0,105.0,0.35,2.289,240.323,1.5936884942348422,383.0,Gained in MDCK,Binder,Binder,Non-binder,0.0457361751637993
5.0,2-6 SiaLac,300.0,105.0,0.35,2.046,214.796,1.7737760479710982,381.0,Gained in MDCK,Binder,Binder,Non-binder,0.0509043845926162
5.0,2-6 SiaLac,300.0,141.0,0.47,1.953,275.404,1.5214012868367925,419.0,Gained in MDCK,Binder,Binder,Non-binder,0.04366165408165619
5.0,2-6 SiaLac,300.0,141.0,0.47,1.989,280.391,1.4051806227731987,394.0,Gained in MDCK,Binder,Binder,Non-binder,0.04032631680056622
