PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
5.0,2-3 SiaLac,93.0,2.05,0.077,7.119,330.3834808259587,190.0,0,26,Data/H1N1_EGG/old_sheet1.csv,2352.0,0.13324932458878674,Binder
5.0,2-3 SiaLac,93.0,2.05,0.085,7.888,327.33265720081135,190.0,0,26,Data/H1N1_EGG/old_sheet1.csv,2582.0,0.13201887509272206,Binder
5.0,2-3 SiaLac,93.0,2.05,0.08,7.408,138.90388768898487,190.0,0,26,Data/H1N1_EGG/old_sheet1.csv,1029.0,0.056022320398834105,Binder
5.0,2-3 SiaLac,93.0,2.05,0.087,8.05,27.701863354037265,190.0,0,26,Data/H1N1_EGG/old_sheet1.csv,223.0,0.011172636635912279,Non-binder
5.0,2-3 SiaLac,93.0,2.05,0.088,8.139,105.29549084654136,190.0,0,26,Data/H1N1_EGG/old_sheet1.csv,857.0,0.042467477497573514,Non-binder
5.0,2-3 SiaLac,83.0,2.3,0.109,9.004,207.01910262105733,190.0,0,27,Data/H1N1_EGG/old_sheet1.csv,1864.0,0.08349435490015945,Binder
5.0,2-3 SiaLac,83.0,2.3,0.102,8.468,189.4189891355692,190.0,0,27,Data/H1N1_EGG/old_sheet1.csv,1604.0,0.07639592725249292,Binder
5.0,2-3 SiaLac,83.0,2.3,0.109,9.018,79.84031936127744,190.0,0,27,Data/H1N1_EGG/old_sheet1.csv,720.0,0.032200970227829126,Non-binder
5.0,2-3 SiaLac,83.0,2.3,0.102,8.443,106.24185715977734,190.0,0,27,Data/H1N1_EGG/old_sheet1.csv,897.0,0.0428491632638746,Non-binder
5.0,2-3 SiaLac,83.0,2.3,0.101,8.357,82.44585377527822,190.0,0,27,Data/H1N1_EGG/old_sheet1.csv,689.0,0.03325182694739175,Non-binder
5.0,2-3 SiaLac,83.0,2.3,0.088,7.292,113.68623148656062,190.0,0,27,Data/H1N1_EGG/old_sheet1.csv,829.0,0.045851607116545685,Non-binder
5.0,2-3 SiaLac,70.0,2.71,0.094,6.611,151.56557253063076,190.0,0,28,Data/H1N1_EGG/old_sheet1.csv,1002.0,0.06112899506999954,Binder
5.0,2-3 SiaLac,70.0,2.71,0.086,6.037,152.72486334271989,190.0,0,28,Data/H1N1_EGG/old_sheet1.csv,922.0,0.06159655693879115,Binder
5.0,2-3 SiaLac,70.0,2.71,0.095,6.7,230.59701492537312,190.0,0,28,Data/H1N1_EGG/old_sheet1.csv,1545.0,0.09300373134328357,Binder
5.0,2-3 SiaLac,70.0,2.71,0.094,6.622,207.18816067653276,190.0,0,28,Data/H1N1_EGG/old_sheet1.csv,1372.0,0.08356253891363397,Binder
