egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,,,,egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,
Block 2 and 10,,,,,,,,,,,,,,,,,Block 2 and 10,,,,,,,,,,,,,,
Block 1 and 9 are Ab control ,,,,,,,,,,,,,,,,,Block 1 and 9 are Ab control ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 10,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,,,,,34,366,38428,135,14306.625,0.026,2.686,34,,,,,,,,,,6673,71830,7542142,130,13266.5,5.414,568.510,31
,,,,,,,-2,-22,-2260,135,14306.625,-0.002,-0.158,-2,,,,,,,,,,7030,75673,7945640,130,13266.5,5.704,598.925,60
,,,,,,,24,258,27126,135,14306.625,0.018,1.896,24,,,,,,,,,,7104,76469,8029279,130,13266.5,5.764,605.230,105
,,,,,,,37,398,41819,135,14306.625,0.028,2.923,37,,,,,,,,,,6699,72110,7571529,145,16504.625,4.369,458.752,94
,,,0.47,141,0.47,0.093,107,1152,162400,170,22686.5,0.051,7.158,107,,,,,,0.47,141,0.47,0.093,1857,19989,2818482,165,21371.625,0.935,131.880,86
,,,,,,,110,1184,166954,165,21371.625,0.055,7.812,110,,,,,,,,,,2115,22766,3210065,170,22686.5,1.004,141.497,79
,,,,,,,115,1238,174543,160,20096,0.062,8.685,115,,,,,,,,,,2089,22487,3170603,165,21371.625,1.052,148.356,87
,,,,,,,93,1001,141152,165,21371.625,0.047,6.605,93,,,,,,,,,,2121,22831,3219171,170,22686.5,1.006,141.898,97
,,,,,,,86,926,130527,170,22686.5,0.041,5.754,86,,,,,,,,,,2077,22357,3152390,165,21371.625,1.046,147.504,78
,,,,,,,102,1098,154812,165,21371.625,0.051,7.244,102,,,,,,,,,,1891,20355,2870086,165,21371.625,0.952,134.294,70
1,α2-3 SiaLac,150,0.34,51,0.34,0.063,156,2476,126286,155,18859.625,0.131,6.696,156,,,1,α2-3 SiaLac,150,0.34,51,0.34,0.063,233,3698,188619,155,18859.625,0.196,10.001,209
,,,,,,,182,2889,147333,155,18859.625,0.153,7.812,182,,,,,,,,,,255,4048,206429,155,18859.625,0.215,10.946,212
,,,,,,,207,3286,167571,155,18859.625,0.174,8.885,207,,,,,,,,,,253,4016,204810,155,18859.625,0.213,10.860,201
,,,,,,,214,3397,173238,160,20096,0.169,8.621,214,,,,,,,,,,267,4238,216143,155,18859.625,0.225,11.461,184
,,,,,,,189,3000,153000,155,18859.625,0.159,8.113,189,,,,,,,,,,258,4095,208857,155,18859.625,0.217,11.074,141
,,,,,,,179,2841,144905,155,18859.625,0.151,7.683,179,,,,,,,,,,238,3778,192667,160,20096,0.188,9.587,109
,,,0.58,87,0.58,0.063,103,1635,142238,150,17662.5,0.093,8.053,103,,,,,,0.58,87,0.58,0.063,138,2190,190571,145,16504.625,0.133,11.547,130
,,,,,,,128,2032,176762,150,17662.5,0.115,10.008,128,,,,,,,,,,139,2206,191952,145,16504.625,0.134,11.630,144
,,,,,,,159,2524,219571,150,17662.5,0.143,12.432,159,,,,,,,,,,138,2190,190571,150,17662.5,0.124,10.790,109
,,,,,,,139,2206,191952,150,17662.5,0.125,10.868,139,,,,,,,,,,143,2270,197476,145,16504.625,0.138,11.965,79
,,,,,,,101,1603,139476,150,17662.5,0.091,7.897,101,,,,,,,,,,140,2222,193333,150,17662.5,0.126,10.946,95
,,,,,,,98,1556,135333,155,18859.625,0.082,7.176,98,,,,,,,,,,134,2127,185048,150,17662.5,0.120,10.477,71
,,200,0.37,74,0.37,0.275,378,1375,101716,145,16504.625,0.083,6.163,378,,,,,200,0.37,74,0.37,0.275,2047,7444,550829,145,16504.625,0.451,33.374,495
,,,,,,,392,1425,105484,140,15386,0.093,6.856,392,,,,,,,,,,2020,7345,543564,145,16504.625,0.445,32.934,122
,,,,,,,420,1527,113018,140,15386,0.099,7.346,420,,,,,,,,,,1960,7127,527418,145,16504.625,0.432,31.956,396
,,,,,,,388,1411,104407,145,16504.625,0.085,6.326,388,,,,,,,,,,1913,6956,514771,145,16504.625,0.421,31.189,331
,,,,,,,410,1491,110327,140,15386,0.097,7.171,410,,,,,,,,,,2026,7367,545178,145,16504.625,0.446,33.032,380
,,,,,,,389,1415,104676,145,16504.625,0.086,6.342,389,,,,,,,,,,2208,8029,594153,145,16504.625,0.486,35.999,344
,,,0.52,104,0.52,0.275,252,916,95302,135,14306.625,0.064,6.661,252,,,,,,0.52,104,0.52,0.275,917,3335,346793,135,14306.625,0.233,24.240,295
,,,,,,,246,895,93033,135,14306.625,0.063,6.503,246,,,,,,,,,,936,3404,353978,135,14306.625,0.238,24.742,270
,,,,,,,300,1091,113455,135,14306.625,0.076,7.930,300,,,,,,,,,,923,3356,349062,135,14306.625,0.235,24.399,297
,,,,,,,306,1113,115724,135,14306.625,0.078,8.089,306,,,,,,,,,,885,3218,334691,135,14306.625,0.225,23.394,212
,,,,,,,273,993,103244,135,14306.625,0.069,7.216,273,,,,,,,,,,920,3345,347927,135,14306.625,0.234,24.319,240
,,,,,,,301,1095,113833,130,13266.5,0.083,8.580,301,,,,,,,,,,1003,3647,379316,135,14306.625,0.255,26.513,241
,,300,0.36,108,0.36,0.093,345,3714,401076,160,20096,0.185,19.958,345,,,,,300,0.36,108,0.36,0.093,355,3821,412702,150,17662.5,0.216,23.366,350
,,,,,,,335,3606,389451,160,20096,0.179,19.380,335,,,,,,,,,,360,3875,418515,150,17662.5,0.219,23.695,271
,,,,,,,362,3897,420840,165,21371.625,0.182,19.692,362,,,,,,,,,,358,3854,416189,155,18859.625,0.204,22.068,293
,,,,,,,361,3886,419677,160,20096,0.193,20.884,361,,,,,,,,,,344,3703,399914,155,18859.625,0.196,21.205,277
,,,,,,,372,4004,432465,165,21371.625,0.187,20.235,372,,,,,,,,,,321,3455,373175,160,20096,0.172,18.570,239
,,,,,,,323,3477,375501,165,21371.625,0.163,17.570,323,,,,,,,,,,325,3498,377826,160,20096,0.174,18.801,236
,,,0.46,138,0.46,0.093,300,3229,445640,155,18859.625,0.171,23.629,300,,,,,,0.46,138,0.46,0.093,225,2422,334230,155,18859.625,0.128,17.722,284
,,,,,,,308,3315,457524,150,17662.5,0.188,25.904,308,,,,,,,,,,227,2443,337201,155,18859.625,0.130,17.880,242
,,,,,,,275,2960,408504,155,18859.625,0.157,21.660,275,,,,,,,,,,223,2400,331259,155,18859.625,0.127,17.564,247
,,,,,,,356,3832,528827,160,20096,0.191,26.315,356,,,,,,,,,,228,2454,338687,150,17662.5,0.139,19.175,265
,,,,,,,362,3897,537740,155,18859.625,0.207,28.513,362,,,,,,,,,,219,2357,325318,150,17662.5,0.133,18.419,242
,,,,,,,288,3100,427815,165,21371.625,0.145,20.018,288,,,,,,,,,,206,2217,306006,160,20096,0.110,15.227,217
5,α2-3 SiaLac,150,0.34,51,0.34,0.063,264,4190,213714,150,17662.5,0.237,12.100,264,,,5,α2-3 SiaLac,150,0.34,51,0.34,0.063,1291,20492,1045095,145,16504.625,1.242,63.321,224
,,,,,,,296,4698,239619,145,16504.625,0.285,14.518,296,,,,,,,,,,1270,20159,1028095,145,16504.625,1.221,62.291,206
,,,,,,,288,4571,233143,145,16504.625,0.277,14.126,288,,,,,,,,,,1301,20651,1053190,150,17662.5,1.169,59.629,237
,,,,,,,288,4571,233143,150,17662.5,0.259,13.200,288,,,,,,,,,,1075,17063,870238,145,16504.625,1.034,52.727,256
,,,,,,,287,4556,232333,150,17662.5,0.258,13.154,287,,,,,,,,,,1141,18111,923667,150,17662.5,1.025,52.295,252
,,,,,,,277,4397,224238,160,20096,0.219,11.158,277,,,,,,,,,,1296,20571,1049143,145,16504.625,1.246,63.567,238
,,,0.58,87,0.58,0.063,224,3556,309333,140,15386,0.231,20.105,224,,,,,,0.58,87,0.58,0.063,413,6556,570333,140,15386,0.426,37.068,133
,,,,,,,215,3413,296905,145,16504.625,0.207,17.989,215,,,,,,,,,,417,6619,575857,140,15386,0.430,37.427,140
,,,,,,,183,2905,252714,145,16504.625,0.176,15.312,183,,,,,,,,,,406,6444,560667,145,16504.625,0.390,33.970,142
,,,,,,,199,3159,274810,140,15386,0.205,17.861,199,,,,,,,,,,390,6190,538571,145,16504.625,0.375,32.632,162
,,,,,,,192,3048,265143,140,15386,0.198,17.233,192,,,,,,,,,,399,6333,551000,140,15386,0.412,35.812,155
