Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-3,,,,,,,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,,,,,,,
,,,,Block 1,,,Block 3,,,Block 10,,,Block 11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,,,,
,,,,0.021,1.076,608,0.021,1.061,260,0.018,0.940,342,0.024,1.220,249,,,,,,
,,,,0.022,1.105,658,0.021,1.069,287,0.017,0.871,305,0.023,1.175,261,,,,,,
5,α2-3 SiaLac,111,1.72,0.057,6.284,2098,0.054,6.005,2199,0.030,3.266,1595,0.031,3.446,1278,,,,,,
,,,,0.057,6.317,2334,0.050,5.520,2240,0.029,3.250,1778,0.029,3.235,1326,,,,,,
,,,,0.062,6.829,2270,0.053,5.858,2600,0.033,3.593,1944,0.031,3.462,1505,,,,,,
,,,,0.061,6.759,2389,0.048,5.320,2380,0.032,3.511,1998,0.029,3.235,1564,,,,,,
,,,,0.056,6.219,2422,0.047,5.213,1696,0.032,3.495,2150,0.032,3.561,1470,,,,,,
,,,,0.051,5.596,2396,0.047,5.198,1484,0.030,3.281,2398,0.032,3.511,1565,,,,,,
,,93,2.05,0.084,7.784,1815,0.075,6.967,1738,0.052,4.792,1515,0.057,5.260,1204,,,,,,
,,,,0.084,7.754,1791,0.075,6.995,1752,0.048,4.478,1592,0.056,5.177,1190,,,,,,
,,,,0.084,7.799,2055,0.076,7.050,1548,0.055,5.122,1683,0.052,4.812,1210,,,,,,
,,,,0.085,7.932,2288,0.070,6.523,1527,0.055,5.122,1888,0.056,5.232,1274,,,,,,
,,,,0.078,7.270,2233,0.069,6.433,1913,0.056,5.219,2208,0.056,5.191,1315,,,,,,
,,,,0.072,6.716,2302,0.070,6.459,1320,0.056,5.177,2993,0.054,4.979,1376,,,,,,
,,83,2.30,0.108,8.912,1967,0.092,7.637,1343,0.087,7.212,1789,0.089,7.407,1039,,,,,,
,,,,0.099,8.172,79,0.099,8.185,781*,0.092,7.656,1986,0.092,7.625,1158,,,,,,
