egg H1N1 binding to TL-VI-26-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 5 new unpure + new HA,,,Block 13 new unpure + old HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 1 = new HA control ,,,Block 1 = old HA control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 5,,,,,,,,,,,,,,,,,Block 13,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,0.47,141,0.47,0.093,676,7277,1026006,135,14306.625,0.509,71.715,249,,,,,,0.47,141,0.47,0.093,534,5748,810484,140,15386,0.374,52.677,64
,,,,,,,614,6609,931905,135,14306.625,0.462,65.138,232,,,,,,,,,,545,5867,827180,140,15386,0.381,53.762,72
,,,,,,,607,6534,921281,135,14306.625,0.457,64.395,253,,,,,,,,,,550,5920,834769,140,15386,0.385,54.255,55
,,,,,,,668,7191,1013864,135,14306.625,0.503,70.867,310,,,,,,,,,,550,5920,834769,145,16504.625,0.359,50.578,58
,,,,,,,611,6577,927352,135,14306.625,0.460,64.820,236,,,,,,,,,,537,5780,815038,145,16504.625,0.350,49.382,48
,,,,,,,592,6372,898515,140,15386,0.414,58.398,232,,,,,,,,,,568,6114,862088,140,15386,0.397,56.031,63
10,α2-6 SiaLac,150,0.29,44,0.29,0.063,3148,49968,2198603,130,13266.5,3.766,165.726,339,,,10,α2-6 SiaLac,150,0.29,44,0.29,0.063,2719,43159,1898984,140,15386,2.805,123.423,67
,,,,,,,3131,49698,2186730,130,13266.5,3.746,164.831,141,,,,,,,,,,2762,43841,1929016,140,15386,2.849,125.375,45
,,,,,,,2881,45730,2012127,130,13266.5,3.447,151.670,167,,,,,,,,,,2770,43968,1934603,140,15386,2.858,125.738,64
,,,,,,,3066,48667,2141333,135,14306.625,3.402,149.674,142,,,,,,,,,,2893,45921,2020508,135,14306.625,3.210,141.229,98
,,,,,,,3093,49095,2160190,135,14306.625,3.432,150.992,149,,,,,,,,,,2769,43952,1933905,140,15386,2.857,125.692,54
,,,,,,,3218,51079,2247492,130,13266.5,3.850,169.411,153,,,,,,,,,,2764,43873,1930413,140,15386,2.851,125.466,51
,,,0.40,60,0.40,0.063,911,14460,867619,125,12265.625,1.179,70.736,369,,,,,,0.40,60,0.40,0.063,732,11619,697143,135,14306.625,0.812,48.729,81
,,,,,,,798,12667,760000,130,13266.5,0.955,57.287,440,,,,,,,,,,730,11587,695238,140,15386,0.753,45.186,73
,,,,,,,896,14222,853333,130,13266.5,1.072,64.322,275,,,,,,,,,,734,11651,699048,135,14306.625,0.814,48.862,85
,,,,,,,812,12889,773333,130,13266.5,0.972,58.292,276,,,,,,,,,,761,12079,724762,130,13266.5,0.911,54.631,95
,,,,,,,791,12556,753333,130,13266.5,0.946,56.785,262,,,,,,,,,,744,11810,708571,135,14306.625,0.825,49.528,65
,,,,,,,908,14413,864762,130,13266.5,1.086,65.184,306,,,,,,,,,,808,12825,769524,135,14306.625,0.896,53.788,66
,,200,0.39,78,0.39,0.275,11305,41109,3206509,135,14306.625,2.873,224.128,315,,,,,200,0.39,78,0.39,0.275,10868,39520,3082560,140,15386,2.569,200.348,91
,,,,,,,11678,42465,3312305,140,15386,2.760,215.280,435,,,,,,,,,,10526,38276,2985556,140,15386,2.488,194.044,91
,,,,,,,11534,41942,3271462,140,15386,2.726,212.626,487,,,,,,,,,,10606,38567,3008247,145,16504.625,2.337,182.267,93
,,,,,,,11347,41262,3218422,140,15386,2.682,209.179,441,,,,,,,,,,10764,39142,3053062,145,16504.625,2.372,184.982,152
,,,,,,,11297,41080,3204240,140,15386,2.670,208.257,366,,,,,,,,,,10674,38815,3027535,140,15386,2.523,196.772,212
