Medium polymer binding to different valencies ,,,,Slide used ,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,
,,,,Block 2,,,Block 10,,,Block 11,,,
,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,
,,,,0.100,5.106,321,0.099,5.063,154,0.075,3.668,21,
,,,,0.090,4.593,815,0.101,5.146,140,0.079,3.814,344,
,,,,0.098,5.008,331,0.108,5.496,410,0.080,4.044,695,
,,,,0.100,5.106,-138,0.108,5.528,355,0.075,4.100,598,
,,,,0.102,5.195,230,0.110,5.634,266,0.075,3.814,352,
10,α2-3 SiaLac,111,1.72,0.053,5.849,1571,0.075,8.291,1819,0.043,3.820,3818,
,,,,0.030,3.303,3541*,0.076,8.361,2444,0.043,4.707,3864,
,,,,0.062,6.869,1275,0.079,8.748,2165,0.042,4.753,3448,
,,,,0.045,4.954,1232,0.081,8.942,1680,0.039,4.631,3632,
,,,,0.034,3.710,1880,0.080,8.801,994,0.033,4.265,1674*,
,,,,0.020,2.210,2157,0.083,9.223,1391,0.040,3.599,2758,
,,93,2.05,0.103,9.560,964,0.137,12.688,1543,0.088,4.401,1647,
,,,,0.100,9.264,579,0.148,13.741,1377,0.088,8.209,1743,
,,,,0.091,8.437,683,0.148,13.725,1529,0.087,8.119,847,
,,,,0.134,12.467,555,0.138,12.806,1026,0.084,8.068,1387,
,,,,0.093,8.652,1005,0.147,13.677,558,0.077,7.810,401,
,,,,0.100,9.239,1826,0.138,12.762,1713,0.084,7.134,3608*,
,,83,2.30,0.147,12.155,646,0.157,13.039,1591,0.121,7.823,1404,
,,,,0.147,12.142,867,0.158,13.078,1014,0.121,10.014,1000,
,,,,0.132,10.901,615,0.170,14.107,2178,0.112,10.049,1185,
,,,,0.125,10.324,740,0.160,13.289,1214,0.098,9.293,2404*,
,,,,0.132,10.963,1314,0.159,13.170,709,0.096,8.095,589,
,,,,0.125,10.311,1443,0.178,14.703,1638,0.101,7.924,1431,
,,70,2.71,0.148,10.424,815,0.181,12.706,2295,0.143,8.335,1692,
,,,,0.084,5.902,786,0.179,12.627,3259*,0.141,10.034,1703,
,,,,0.143,10.048,356,0.181,12.706,2084,0.129,9.936,1641,
,,,,0.126,8.872,575,0.182,12.784,1220,0.137,9.104,790,
,,,,0.164,11.507,708,0.181,12.717,1475,0.127,9.663,425,
,,,,0.132,9.311,472,0.188,13.221,2250,0.130,8.931,767,
,,64,2.98,0.109,6.979,434,0.121,7.716,1680,0.102,9.177,806,
,,,,0.106,6.784,264,0.121,7.763,4538*,0.093,6.492,856,
,,,,0.119,7.583,734,0.132,8.450,1905,0.100,5.930,1435,
,,,,0.107,6.873,235,0.131,8.389,977,0.083,6.394,1588,
,,,,0.119,7.592,142,0.122,7.830,801,0.089,5.277,356,
,,,,0.117,7.460,1621*,0.134,8.592,1643,0.083,5.664,848,
,,51,3.73,0.132,6.749,380,0.153,7.791,169,0.112,5.285,-200,
,,,,0.131,6.692,77,0.153,7.837,541,0.104,5.695,248,
,,,,0.131,6.664,178,0.153,7.791,1157,0.109,5.285,647,
,,,,0.132,6.756,234,0.143,7.316,757,0.098,5.552,678,
,,,,0.128,6.551,365,0.144,7.365,615,0.110,5.028,363,
,,,,0.133,6.777,401,0.146,7.436,450,0.112,5.602,-183,
1,Lac,109,1.75,0.025,2.779,996,0.050,5.458,918,0.025,5.726,355,
,,,,0.030,3.324,3263*,0.048,5.200,710,0.025,2.769,806,
,,,,0.029,3.120,-382,0.082,8.903,424,0.025,2.753,1545*,
,,,,0.030,3.251,-195,0.067,7.350,460,0.023,2.688,117,
,,,,0.031,3.405,109,0.045,4.942,578,0.021,2.510,339,
,,,,0.026,2.884,-43,0.116,12.629,322,0.021,2.285,153,
,,95,2.01,0.023,2.169,3651*,0.048,4.584,208,0.021,2.345,-169,
,,,,0.025,2.339,1486,0.046,4.328,-216,0.019,1.951,-702,
,,,,0.023,2.169,402,0.050,4.710,431,0.018,1.823,1574*,
,,,,0.022,2.121,72,0.045,4.216,423,0.017,1.740,-45,
,,,,0.018,1.740,-43,0.075,7.066,656,0.018,1.626,2050*,
,,,,0.023,2.202,-50,0.042,3.971,221,0.017,1.712,708,
,,85,2.25,0.024,1.994,2946*,0.048,4.093,781,0.028,1.626,-68,
,,,,0.026,2.173,1884,0.043,3.667,313,0.022,2.376,-202,
,,,,0.024,2.061,1781,0.042,3.515,1107*,0.020,1.884,2355*,
,,,,0.025,2.102,764,0.038,3.211,-242,0.017,1.733,1467,
,,,,0.024,2.034,-18,0.032,2.750,2175*,0.019,1.479,8203*,
,,,,0.023,1.934,-65,0.043,3.649,944,0.019,1.645,1290,
5,Lac,109,1.75,0.079,8.588,-370,0.106,11.578,-1,0.095,1.596,-539,
,,,,0.086,9.352,-403,0.106,11.530,197,0.087,10.335,-520,
,,,,0.085,9.246,-244,0.099,10.835,-18,0.097,9.509,464*,
,,,,0.084,9.125,-367,0.110,11.967,253,0.105,10.577,-95,
,,,,0.079,8.574,-875,0.107,11.708,347,0.086,11.465,-705,
,,,,0.080,8.701,-439,0.110,11.967,-36,0.089,9.382,-444,
,,95,2.01,0.087,8.248,-247,0.106,10.005,1660*,0.105,9.722,-482,
,,,,0.080,7.528,2050*,0.109,10.258,349,0.097,9.907,-143,
,,,,0.080,7.552,-342,0.108,10.244,420,0.096,9.205,-175,
,,,,0.084,7.972,-423,0.108,10.230,25,0.088,9.048,-235,
,,,,0.080,7.577,-651,0.108,10.244,-33,0.105,8.338,-267,
,,,,0.079,7.516,-408,0.103,9.756,-81,0.100,9.921,-641,
,,85,2.25,0.089,7.534,75,0.102,8.625,6,0.099,9.415,349,
