



,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
,,,0.49,98,0.49,0.275,15082,54844,5374676,135,14306.625,3.833,375.677,2371,,,,,,0.49,98,0.49,0.275,13726,49913,4891447,145,16504.625,3.024,296.368,2762
,,,,,,,14998,54538,5344742,135,14306.625,3.812,373.585,2424,,,,,,,,,,14174,51542,5051098,140,15386,3.350,328.292,2452
,,,,,,,15310,55673,5455927,135,14306.625,3.891,381.357,2504,,,,,,,,,,14538,52865,5180815,140,15386,3.436,336.723,2290
,,,,,,,15445,56164,5504036,135,14306.625,3.926,384.719,2166,,,,,,,,,,14585,53036,5197564,140,15386,3.447,337.811,2766
,,,,,,,16367,59516,5832604,135,14306.625,4.160,407.686,2219,,,,,,,,,,15100,54909,5381091,145,16504.625,3.327,326.035,4509
,,,,,,,17873,64993,6369287,135,14306.625,4.543,445.198,2867,,,,,,,,,,15873,57720,5656560,140,15386,3.751,367.643,4004
,,300,0.35,105,0.35,0.093,6580,70829,7437029,130,13266.5,5.339,560.587,3419,,,,,300,0.35,105,0.35,0.093,6192,66652,6998493,140,15386,4.332,454.861,1980
,,,,,,,6651,71593,7517277,135,14306.625,5.004,525.440,3250,,,,,,,,,,6047,65091,6834607,140,15386,4.231,444.209,2313
,,,,,,,6864,73886,7758019,135,14306.625,5.164,542.268,3433,,,,,,,,,,6122,65899,6919376,135,14306.625,4.606,483.648,3771
,,,,,,,6825,73466,7713940,135,14306.625,5.135,539.187,3875,,,,,,,,,,6189,66620,6995102,140,15386,4.330,454.641,2965
,,,,,,,7363,79257,8322013,130,13266.5,5.974,627.295,2258,,,,,,,,,,6617,71227,7478848,135,14306.625,4.979,522.754,2622
,,,,,,,7215,77664,8154736,135,14306.625,5.429,569.997,2126,,,,,,,,,,6550,70506,7403122,135,14306.625,4.928,517.461,3889
,,,0.47,141,0.47,0.093,6015,64747,9129333,135,14306.625,4.526,638.119,3606,,,,,,0.47,141,0.47,0.093,5650,60818,8575350,135,14306.625,4.251,599.397,2535
,,,,,,,6088,65533,9240129,135,14306.625,4.581,645.864,3586,,,,,,,,,,5591,60183,8485802,140,15386,3.912,551.527,2659
,,,,,,,6275,67546,9523950,135,14306.625,4.721,665.702,2588,,,,,,,,,,5652,60840,8578385,140,15386,3.954,557.545,2825
