PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,Status,Experiment,Self-model,Cross-model
5.0,2-3 SiaLac,200.0,74.0,0.37,2.046,151.423,7.521974865112962,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.051,151.755,7.083786366182333,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.055,152.052,6.951569200010523,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.26,167.211,6.100077148034519,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.133,157.876,5.637335630494818,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,104.0,0.52,1.998,207.745,4.832847962646514,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,104.0,0.52,2.027,210.838,4.657604416661133,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,104.0,0.52,2.052,213.376,4.531906118776245,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,104.0,0.52,2.024,210.521,4.412861424750975,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,104.0,0.52,2.047,212.847,4.125028776539017,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,200.0,104.0,0.52,2.089,217.288,3.9578807849490074,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,108.0,0.36,2.053,221.736,4.30692354872461,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,108.0,0.36,2.066,223.075,4.523142440883111,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,108.0,0.36,2.268,244.96,3.8210320052253426,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,108.0,0.36,2.127,229.766,4.221686411392461,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,108.0,0.36,2.157,233.006,4.171566397431826,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,108.0,0.36,2.3,248.432,3.7193276228505185,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,138.0,0.46,2.337,322.478,2.3319420239520214,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,138.0,0.46,2.296,316.879,2.4646631679600097,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,138.0,0.46,2.359,325.501,2.45467755859429,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,138.0,0.46,2.433,335.802,2.424047504184013,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,138.0,0.46,2.493,343.976,2.346093913528851,Gained in MDCK,Binder,Binder,Non-binder
5.0,2-3 SiaLac,300.0,138.0,0.46,2.447,337.706,2.368924449077008,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,51.0,0.34,3.75,191.253,4.836525440123816,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,51.0,0.34,4.131,210.662,4.618773200672167,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,51.0,0.34,3.877,197.725,5.826273865216842,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,51.0,0.34,3.766,192.042,5.045771237541787,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,51.0,0.34,3.857,196.725,3.4210191892235353,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,51.0,0.34,3.93,200.408,4.705400981996727,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,87.0,0.58,2.843,247.298,3.6878583732986114,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,87.0,0.58,2.771,241.12,4.159754479097545,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,87.0,0.58,2.767,240.734,4.714747397542515,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,87.0,0.58,2.825,245.754,4.089455308967504,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,87.0,0.58,2.999,260.908,2.993392306866788,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,150.0,87.0,0.58,2.807,244.209,4.193129655336208,Gained in MDCK,Binder,Binder,Non-binder
10.0,2-3 SiaLac,200.0,74.0,0.37,4.551,336.791,2.7138492418146565,Gained in MDCK,Binder,Binder,Non-binder
