PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,Status,Experiment,Self-model,Cross-model
5.0,2-3 SiaLac,64.0,2.98,0.072,4.593,240.365774003919,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,64.0,2.98,0.07,4.499,216.93709713269618,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,64.0,2.98,0.071,4.565,68.56516976998904,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,64.0,2.98,0.066,4.213,108.71113220982673,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,51.0,3.73,0.099,5.057,26.497923670160173,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,51.0,3.73,0.1,5.106,62.867215041128084,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,51.0,3.73,0.09,4.593,177.44393642499455,190.0,Conserved,Binder,Binder,Binder
5.0,2-3 SiaLac,51.0,3.73,0.098,5.008,66.09424920127796,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,51.0,3.73,0.1,5.106,-27.027027027027028,190.0,Others,Non-binder,Binder,Binder
5.0,2-3 SiaLac,51.0,3.73,0.102,5.195,44.27333974975938,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,111.0,1.72,0.053,5.849,268.5929218669858,190.0,Conserved,Binder,Binder,Binder
10.0,2-3 SiaLac,111.0,1.72,0.062,6.869,185.61653806958802,190.0,Conserved,Binder,Binder,Binder
10.0,2-3 SiaLac,111.0,1.72,0.045,4.954,248.68792894630602,190.0,Conserved,Binder,Binder,Binder
10.0,2-3 SiaLac,111.0,1.72,0.034,3.71,506.73854447439356,190.0,Conserved,Binder,Binder,Binder
10.0,2-3 SiaLac,111.0,1.72,0.02,2.21,976.0180995475114,190.0,Conserved,Binder,Binder,Binder
10.0,2-3 SiaLac,93.0,2.05,0.103,9.56,100.836820083682,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,93.0,2.05,0.1,9.264,62.50000000000001,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,93.0,2.05,0.091,8.437,80.95294535972502,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,93.0,2.05,0.134,12.467,44.51752626935109,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,93.0,2.05,0.093,8.652,116.15811373092927,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,93.0,2.05,0.1,9.239,197.64043727676153,190.0,Conserved,Binder,Binder,Binder
10.0,2-3 SiaLac,83.0,2.3,0.147,12.155,53.14685314685315,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,83.0,2.3,0.147,12.142,71.40504035578982,190.0,Others,Non-binder,Binder,Binder
10.0,2-3 SiaLac,83.0,2.3,0.132,10.901,56.416842491514544,190.0,Others,Non-binder,Binder,Binder
